Player,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Date
RW Price (ZIM),7,9,6,1,0,116.66,1,v Bangladesh,Dhaka,21-Jan-09
T Mupariwa (ZIM),1*,3,1,0,0,100,1,v Bangladesh,Dhaka,21-Jan-09
EC Rainsford (ZIM),DNB,-,-,-,-,-,1,v Bangladesh,Dhaka,21-Jan-09
Tamim Iqbal (BDESH),21,31,27,3,0,77.77,2,v Zimbabwe,Dhaka,21-Jan-09
Mehrab Hossain jnr (BDESH),43,108,85,5,0,50.58,2,v Zimbabwe,Dhaka,21-Jan-09
Mohammad Ashraful (BDESH),5,22,13,1,0,38.46,2,v Zimbabwe,Dhaka,21-Jan-09
Raqibul Hasan (BDESH),52*,127,100,7,0,52,2,v Zimbabwe,Dhaka,21-Jan-09
Shakib Al Hasan (BDESH),22,43,24,3,0,91.66,2,v Zimbabwe,Dhaka,21-Jan-09
Mushfiqur Rahim (BDESH),13*,29,20,1,1,65,2,v Zimbabwe,Dhaka,21-Jan-09
Mahmudullah (BDESH),DNB,-,-,-,-,-,2,v Zimbabwe,Dhaka,21-Jan-09
Naeem Islam (BDESH),DNB,-,-,-,-,-,2,v Zimbabwe,Dhaka,21-Jan-09
Nazmul Hossain (BDESH),DNB,-,-,-,-,-,2,v Zimbabwe,Dhaka,21-Jan-09
Rubel Hossain (BDESH),DNB,-,-,-,-,-,2,v Zimbabwe,Dhaka,21-Jan-09
