Date,Player,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Runs_only,Not_Outs
2009-01-16,MV Boucher (SA),0,4,1,0,0,0,2,v Australia,Melbourne,0,0
2009-01-16,VB van Jaarsveld (SA),4,7,7,0,0,57.14,2,v Australia,Melbourne,4,0
2009-01-16,JA Morkel (SA),40*,38,18,4,1,222.22,2,v Australia,Melbourne,40*,1
2009-01-16,J Botha (SA),12*,33,18,1,0,66.66,2,v Australia,Melbourne,12*,1
2009-01-18,SE Marsh (AUS),78,137,103,9,0,75.72,1,v South Africa,Hobart,78,0
2009-01-18,DA Warner (AUS),5,17,7,1,0,71.42,1,v South Africa,Hobart,5,0
2009-01-18,RT Ponting (AUS),64,106,72,7,0,88.88,1,v South Africa,Hobart,64,0
2009-01-18,MEK Hussey (AUS),28,39,34,2,0,82.35,1,v South Africa,Hobart,28,0
2009-01-18,DJ Hussey (AUS),19,51,30,1,0,63.33,1,v South Africa,Hobart,19,0
2009-01-18,CL White (AUS),1,6,5,0,0,20,1,v South Africa,Hobart,1,0
2009-01-18,BJ Haddin (AUS),23,51,26,1,0,88.46,1,v South Africa,Hobart,23,0
2009-01-18,JR Hopes (AUS),8,11,13,0,0,61.53,1,v South Africa,Hobart,8,0
2009-01-18,RJ Harris (AUS),7,13,10,0,0,70,1,v South Africa,Hobart,7,0
2009-01-18,NW Bracken (AUS),0*,1,0,0,0,-,1,v South Africa,Hobart,0*,1
2009-01-18,HH Gibbs (SA),19,55,37,1,0,51.35,2,v Australia,Hobart,19,0
2009-01-18,HM Amla (SA),8,22,19,0,0,42.1,2,v Australia,Hobart,8,0
2009-01-18,JH Kallis (SA),72,102,96,5,0,75,2,v Australia,Hobart,72,0
2009-01-18,AB de Villiers (SA),44,78,62,2,0,70.96,2,v Australia,Hobart,44,0
2009-01-18,JP Duminy (SA),35,57,34,3,0,102.94,2,v Australia,Hobart,35,0
2009-01-18,ND McKenzie (SA),8,20,15,0,0,53.33,2,v Australia,Hobart,8,0
2009-01-18,MV Boucher (SA),37*,49,32,2,1,115.62,2,v Australia,Hobart,37*,1
2009-01-18,JA Morkel (SA),11*,22,5,2,0,220,2,v Australia,Hobart,11*,1
2009-01-19,Tamim Iqbal (BDESH),13,84,54,2,0,24.07,1,v Zimbabwe,Dhaka,13,0
2009-01-19,Junaid Siddique (BDESH),3,29,24,0,0,12.5,1,v Zimbabwe,Dhaka,3,0
2009-01-19,Mohammad Ashraful (BDESH),4,26,18,0,0,22.22,1,v Zimbabwe,Dhaka,4,0
2009-01-19,Raqibul Hasan (BDESH),28,55,33,6,0,84.84,1,v Zimbabwe,Dhaka,28,0
2009-01-19,Shakib Al Hasan (BDESH),15,31,21,0,1,71.42,1,v Zimbabwe,Dhaka,15,0
2009-01-19,Mushfiqur Rahim (BDESH),22,54,38,3,0,57.89,1,v Zimbabwe,Dhaka,22,0
2009-01-19,Mahmudullah (BDESH),14,43,41,1,0,34.14,1,v Zimbabwe,Dhaka,14,0
