,Player_Name,Country,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Date
128,TG Southee ,NZ,DNB,-,-,-,-,-,2,v West Indies,Napier,13 Jan 2009
129,MR Gillespie ,NZ,DNB,-,-,-,-,-,2,v West Indies,Napier,13 Jan 2009
130,KD Mills ,NZ,DNB,-,-,-,-,-,2,v West Indies,Napier,13 Jan 2009
131,DL Vettori ,NZ,DNB,-,-,-,-,-,2,v West Indies,Napier,13 Jan 2009
132,WU Tharanga ,SL,0,-,3,0,0,0.00,1,v Bangladesh,Dhaka,14 Jan 2009
133,ST Jayasuriya ,SL,54,-,64,7,0,84.37,1,v Bangladesh,Dhaka,14 Jan 2009
134,KC Sangakkara ,SL,0,-,5,0,0,0.00,1,v Bangladesh,Dhaka,14 Jan 2009
135,DPMD Jayawardene ,SL,28,-,44,0,0,63.63,1,v Bangladesh,Dhaka,14 Jan 2009
136,CK Kapugedera ,SL,28,-,30,2,1,93.33,1,v Bangladesh,Dhaka,14 Jan 2009
137,J Mubarak ,SL,10,-,14,0,0,71.42,1,v Bangladesh,Dhaka,14 Jan 2009
138,AD Mathews ,SL,2,-,5,0,0,40.00,1,v Bangladesh,Dhaka,14 Jan 2009
139,T Thushara ,SL,0,-,5,0,0,0.00,1,v Bangladesh,Dhaka,14 Jan 2009
140,KMDN Kulasekara ,SL,5,-,5,1,0,100.00,1,v Bangladesh,Dhaka,14 Jan 2009
141,M Muralitharan ,SL,6*,-,8,1,0,75.00,1,v Bangladesh,Dhaka,14 Jan 2009
142,BAW Mendis ,SL,0,-,1,0,0,0.00,1,v Bangladesh,Dhaka,14 Jan 2009
143,Tamim Iqbal ,BDESH,9,-,13,2,0,69.23,2,v Sri Lanka,Dhaka,14 Jan 2009
144,Junaid Siddique ,BDESH,0,-,0,0,0,-,2,v Sri Lanka,Dhaka,14 Jan 2009
145,Mushfiqur Rahim ,BDESH,1,-,8,0,0,12.50,2,v Sri Lanka,Dhaka,14 Jan 2009
146,Mohammad Ashraful ,BDESH,26,-,41,1,0,63.41,2,v Sri Lanka,Dhaka,14 Jan 2009
147,Shakib Al Hasan ,BDESH,92*,-,69,10,2,133.33,2,v Sri Lanka,Dhaka,14 Jan 2009
148,Raqibul Hasan ,BDESH,3,-,6,0,0,50.00,2,v Sri Lanka,Dhaka,14 Jan 2009
149,Naeem Islam ,BDESH,12*,-,6,1,1,200.00,2,v Sri Lanka,Dhaka,14 Jan 2009
150,Mahbubul Alam ,BDESH,DNB,-,-,-,-,-,2,v Sri Lanka,Dhaka,14 Jan 2009
151,Rubel Hossain ,BDESH,DNB,-,-,-,-,-,2,v Sri Lanka,Dhaka,14 Jan 2009
152,Mashrafe Mortaza ,BDESH,DNB,-,-,-,-,-,2,v Sri Lanka,Dhaka,14 Jan 2009
153,Mahmudullah ,BDESH,DNB,-,-,-,-,-,2,v Sri Lanka,Dhaka,14 Jan 2009
